2			
10			
3			
245			
0			
0			
0	10	1	1035.01198
10	10	1	897.7973672
20	10	1	897.0737563
30	10	1	891.7615021
40	10	1	803.1199681
50	10	1	905.6354822
60	10	1	852.5933396
70	10	1	893.8878297
80	10	1	900.1259457
90	10	1	616.1805591
100	10	1	1056.971395
110	10	1	793.7684968
120	10	1	473.1942462
130	10	1	2049.15033
140	10	1	933.6074168
150	10	1	823.1479461
160	10	1	782.0407361
170	10	1	774.5453888
180	10	1	912.2341056
190	10	1	664.5814859
200	10	1	1090.674305
210	10	1	1072.974722
220	10	1	674.5493256
230	10	1	630.3026945
240	10	1	738.9526906
250	10	1	869.2109709
260	10	1	907.7549299
270	10	1	948.2146174
280	10	1	964.8934842
290	10	1	985.5624953
300	10	1	1120.50138
310	10	1	1188.480475
320	10	1	962.4508355
330	10	1	939.3466406
340	10	1	1238.231771
350	10	1	960.9452664
360	10	1	1178.097245
370	10	1	1018.128188
0	10	2	988.918731
10	10	2	920.9155734
20	10	2	864.8619776
30	10	2	791.0081503
40	10	2	875.9027688
50	10	2	767.9448709
60	10	2	847.7956949
70	10	2	931.5869415
80	10	2	611.5893067
90	10	2	662.9353252
100	10	2	932.660319
110	10	2	722.5663103
120	10	2	864.8619776
130	10	2	968.2991056
140	10	2	571.3771639
150	10	2	2298.429722
160	10	2	575.5589594
170	10	2	636.9380629
180	10	2	507.3263378
190	10	2	490.757669
200	10	2	787.0963216
210	10	2	557.5424204
220	10	2	540.3539364
230	10	2	630.0760651
240	10	2	728.9329931
250	10	2	700.6972731
260	10	2	799.3035735
270	10	2	866.2028489
280	10	2	864.5136643
290	10	2	1070.873322
300	10	2	1109.767605
310	10	2	1053.01926
320	10	2	972.9605763
330	10	2	1159.779986
340	10	2	957.0750953
350	10	2	1400.980508
360	10	2	1057.103474
0	10	3	1013.929181
10	10	3	862.4889056
20	10	3	766.4105155
30	10	3	782.59317
40	10	3	750.7873969
50	10	3	903.7458319
60	10	3	781.778817
70	10	3	502.6548246
80	10	3	595.2491344
90	10	3	540.5910377
100	10	3	748.2266473
110	10	3	778.8531787
120	10	3	768.2382035
130	10	3	587.8505576
140	10	3	412.3340358
150	10	3	378.505139
160	10	3	494.5320755
170	10	3	370.0098014
180	10	3	357.3707628
190	10	3	383.6635276
200	10	3	432.0994547
210	10	3	401.3593656
220	10	3	442.7748035
230	10	3	567.443379
240	10	3	496.3716393
250	10	3	568.1603735
260	10	3	724.1927479
270	10	3	794.1248097
280	10	3	906.2286501
290	10	3	601.0003337
300	10	3	927.7974566
310	10	3	1025.263008
320	10	3	1206.869257
330	10	3	857.9365984
340	10	3	1021.810944
350	10	3	1037.999194
0	10	4	989.9407067
10	10	4	845.458023
20	10	4	839.2867965
30	10	4	703.7167544
40	10	4	609.6026596
50	10	4	680.6784083
60	10	4	486.4401528
70	10	4	686.9615936
80	10	4	494.8008429
90	10	4	465.944079
100	10	4	824.9678419
110	10	4	733.0382858
120	10	4	12608.61052
130	10	4	397.5076419
140	10	4	322.7161325
150	10	4	454.2061668
160	10	4	344.0223134
170	10	4	279.2526803
180	10	4	364.3780327
190	10	4	356.9146683
200	10	4	370.8109362
210	10	4	328.439232
220	10	4	404.8226775
230	10	4	486.0164245
240	10	4	464.9557127
250	10	4	584.0707469
260	10	4	667.6954414
270	10	4	816.5245422
280	10	4	15889.7083
290	10	4	896.0368612
300	10	4	951.2859998
310	10	4	1260.882457
320	10	4	933.1463327
330	10	4	976.9205062
340	10	4	951.9977738
0	10	5	993.1486453
10	10	5	897.4329014
20	10	5	719.710317
30	10	5	557.1090972
40	10	5	617.6237472
50	10	5	458.1489286
60	10	5	427.6056667
70	10	5	498.4660344
80	10	5	449.3547387
90	10	5	6448.532289
100	10	5	847.9877343
110	10	5	523.237673
120	10	5	277.1993518
130	10	5	405.2976188
140	10	5	308.0472174
150	10	5	344.4396765
160	10	5	299.8792988
170	10	5	340.8222288
180	10	5	269.7798896
190	10	5	214.7064802
200	10	5	370.1480453
210	10	5	374.8491234
220	10	5	351.8583772
230	10	5	479.3918201
240	10	5	505.7964172
250	10	5	439.8229715
260	10	5	755.0094606
270	10	5	851.2702674
280	10	5	777.2214154
290	10	5	1089.99606
300	10	5	1150.938617
310	10	5	891.5330503
320	10	5	1066.897307
330	10	5	964.3958844
0	10	6	945.8558527
10	10	6	889.3123819
20	10	6	614.1528038
30	10	6	609.8878538
40	10	6	492.005358
50	10	6	537.5614096
60	10	6	437.7961375
70	10	6	471.238898
80	10	6	496.3519428
90	10	6	3572.098354
100	10	6	651.2545799
110	10	6	438.3010927
120	10	6	576.5746517
130	10	6	288.21164
140	10	6	246.4377739
150	10	6	339.1406045
160	10	6	399.839065
170	10	6	311.6088949
180	10	6	235.4442673
190	10	6	311.3790949
200	10	6	381.9515279
210	10	6	278.8311668
220	10	6	422.2300526
230	10	6	547.8763659
240	10	6	527.7875658
250	10	6	777.7922022
260	10	6	747.8188943
270	10	6	677.8922864
280	10	6	814.2177324
290	10	6	1399.3215
300	10	6	1085.170696
310	10	6	1069.83966
320	10	6	1114.798819
0	10	7	961.327352
10	10	7	521.9877024
20	10	7	863.6523804
30	10	7	703.7167544
40	10	7	603.8247575
50	10	7	364.8301146
60	10	7	650.6969989
70	10	7	351.8583772
80	10	7	591.9112888
90	10	7	535.7242209
100	10	7	569.8477574
110	10	7	382.1909959
120	10	7	264.997941
130	10	7	272.9935685
140	10	7	431.2661044
150	10	7	316.6725395
160	10	7	179.9275793
170	10	7	467.4133424
180	10	7	470.8885345
190	10	7	280.2411854
200	10	7	468.7586933
210	10	7	358.4972145
220	10	7	319.871252
230	10	7	547.8763659
240	10	7	582.5080158
250	10	7	96841.5847
260	10	7	645.3924038
270	10	7	656.6942063
280	10	7	915.9949489
290	10	7	818.9807056
300	10	7	835.9368278
310	10	7	1016.347677
0
0
0
0
